PC1,PC2,PC3,PC4,label,type
0.749922156328423,-1.3795039944093557,-1.1813346545811958,0.1165029417808381,CYB300_综合_v10,strategy
0.4257814119145231,0.07256718508706926,-0.733224707657588,-0.16439193876756175,GZ2000_综合_v10,strategy
0.1968223522740625,-0.4109799471699784,-0.04336892990260664,0.2245175712520154,HS300_综合_v10,strategy
-3.683671329452806,14.778701566373343,4.127721759037224,-3.4286908945826986,HX_朝花夕拾,strategy
1.3452597430518134,-3.5241384267958114,-1.4976464456706304,0.3709094629114001,宽指配置_V251216,strategy
1.4331670087886195,-3.297381401997742,-2.07798955024854,0.19386561718978154,集中_红利增强_V20_251229,strategy
1.5575493930232014,-3.228768928338062,-2.5830040802923255,0.0268215488333068,集中_行业轮动_V251111701,strategy
-0.6705169161451133,-10.120234330419049,7.605521029902307,5.415634281899713,A,user
-0.542127812813277,3.5426596932863275,-2.7651295791046264,-0.9897840574758933,B,user
-0.8121860069694453,3.5670785843832533,-0.8515448414820191,-1.765384533040901,C,user
